problem,library,execution_time
ObjectDetection_29,JunctionTrees_v1,12.402065917
ObjectDetection_29,JunctionTrees_v2,10.877978319
ObjectDetection_29,merlin,37.89749
ObjectDetection_29,libdai,116.195042
Promedus_30,TensorInference,0.008925952
Promedus_30,JunctionTrees_v1,0.001340326
Promedus_30,JunctionTrees_v2,0.003825099
Promedus_30,merlin,0.0007691399999999998
Promedus_30,libdai,0.014782
ObjectDetection_30,TensorInference,0.158141629
ObjectDetection_30,JunctionTrees_v1,9.65933522
ObjectDetection_30,JunctionTrees_v2,1.708630085
ObjectDetection_30,merlin,20.10824
ObjectDetection_30,libdai,32.375509
ObjectDetection_35,TensorInference,0.136982205
ObjectDetection_35,JunctionTrees_v1,9.637470816
ObjectDetection_35,JunctionTrees_v2,1.691497247
ObjectDetection_35,merlin,20.10754
ObjectDetection_35,libdai,31.994366000000003
ObjectDetection_38,TensorInference,0.149106189
ObjectDetection_38,JunctionTrees_v1,9.701539261
ObjectDetection_38,JunctionTrees_v2,1.694412978
ObjectDetection_38,merlin,20.12756
ObjectDetection_38,libdai,32.100925
ObjectDetection_42,TensorInference,0.137833961
ObjectDetection_42,JunctionTrees_v1,9.626857185
ObjectDetection_42,JunctionTrees_v2,1.700819996
ObjectDetection_42,merlin,20.36955
ObjectDetection_42,libdai,31.684167000000002
ObjectDetection_47,TensorInference,0.1357929
ObjectDetection_47,JunctionTrees_v1,9.720305501
ObjectDetection_47,JunctionTrees_v2,1.702599541
ObjectDetection_47,merlin,20.20117
ObjectDetection_47,libdai,31.147941
ObjectDetection_52,TensorInference,0.151279202
ObjectDetection_52,JunctionTrees_v1,9.649858513
ObjectDetection_52,JunctionTrees_v2,1.745218258
ObjectDetection_52,merlin,20.07187
ObjectDetection_52,libdai,32.129619999999996
ObjectDetection_54,TensorInference,0.147506293
ObjectDetection_54,JunctionTrees_v1,9.618508407
ObjectDetection_54,JunctionTrees_v2,1.750772241
ObjectDetection_54,merlin,20.35756
ObjectDetection_54,libdai,31.944580000000002
ObjectDetection_58,TensorInference,0.141829841
ObjectDetection_58,JunctionTrees_v1,9.640217502
ObjectDetection_58,JunctionTrees_v2,1.740630062
ObjectDetection_58,merlin,20.29531
ObjectDetection_58,libdai,31.765069
ObjectDetection_62,TensorInference,0.1430864
ObjectDetection_62,JunctionTrees_v1,9.660385587
ObjectDetection_62,JunctionTrees_v2,1.738435891
ObjectDetection_62,merlin,20.069470000000003
ObjectDetection_62,libdai,31.138229
ObjectDetection_66,TensorInference,0.160326834
ObjectDetection_66,JunctionTrees_v1,9.586485655
ObjectDetection_66,JunctionTrees_v2,1.6899815
ObjectDetection_66,merlin,20.53224
ObjectDetection_66,libdai,31.483932
ObjectDetection_71,TensorInference,0.167034408
ObjectDetection_71,JunctionTrees_v1,9.748670643
ObjectDetection_71,JunctionTrees_v2,1.710830248
ObjectDetection_71,merlin,20.11836
ObjectDetection_71,libdai,32.272991000000005
ObjectDetection_75,TensorInference,0.151443036
ObjectDetection_75,JunctionTrees_v1,9.771876547
ObjectDetection_75,JunctionTrees_v2,1.706610855
ObjectDetection_75,merlin,20.26042
ObjectDetection_75,libdai,32.050483
ObjectDetection_28,TensorInference,0.589681052
ObjectDetection_28,JunctionTrees_v1,3.893741449
ObjectDetection_28,JunctionTrees_v2,1.057923816
ObjectDetection_28,merlin,10.67193
ObjectDetection_28,libdai,23.715098
Promedus_32,TensorInference,0.015046402
Promedus_32,JunctionTrees_v1,0.002605904
Promedus_32,JunctionTrees_v2,0.006691941
Promedus_32,merlin,0.002178900000000001
Promedus_32,libdai,0.033771
Promedus_22,TensorInference,0.011861796
Promedus_22,JunctionTrees_v1,0.002699215
Promedus_22,JunctionTrees_v2,0.005543767
Promedus_22,merlin,0.0022760999999999997
Promedus_22,libdai,0.025719000000000002
Promedus_31,TensorInference,0.017010891
Promedus_31,JunctionTrees_v1,0.005833135
